Subject Code,Subject Title,Faculty / School
AANB,Applied Animal Biology,Faculty of Land and Food Systems
ACAM,Asian Canadian and Asian Migration Studies,Faculty of Arts
ADHE,Adult and Higher Education,Faculty of Education
AFST,African Studies,Faculty of Arts
AGEC *,Agricultural Economics,Faculty of Land and Food Systems
AMNE,Ancient Mediterranean and Near Eastern Studies,Faculty of Arts
ANAT,Anatomy,Faculty of Medicine
ANTH,Anthropology,Faculty of Arts
APBI,Applied Biology,Faculty of Land and Food Systems
APPP,Applied Science Professional Program Platform,Faculty of Applied Science
APSC,Applied Science,Faculty of Applied Science
AQUA,Aquaculture,Faculty of Land and Food Systems
ARBC,Classical Arabic,Faculty of Arts
ARBM,Modern Standard Arabic,Faculty of Arts
ARC *,Alternative Routes to Computing,Faculty of Science
ARCH,Architecture,School of Arch and Landscape Arch
ARCL,Anthropological Archaeology,Faculty of Arts
ARST,Archival Studies,School of Information
ARTC,Arts Co-Op,Faculty of Arts
ARTH,Art History,Faculty of Arts
ARTS,Arts One Program,Faculty of Arts
ASIA,Asian Studies,Faculty of Arts
ASIC,Arts and Science Interdisciplinary Courses,Faculty of Science
ASIX,Asian Studies Crossings,Faculty of Arts
ASL,American Sign Language,Faculty of Arts
ASLA *,Asian Languages,Faculty of Arts
ASTR,Astronomy,Faculty of Science
ASTU,Arts Studies,Faculty of Arts
ATSC,Atmospheric Science,Faculty of Science
AUDI,Audiology and Speech Sciences,School of Audiology and Speech Scie
BA,Business Administration: Core,Faculty of Comm and Bus Admin
BAAC,Business Administration: Accounting,Faculty of Comm and Bus Admin
BABS,Business Administration: Business Statistics,Faculty of Comm and Bus Admin
BAEN,Business Administration: Entrepreneurship,Faculty of Comm and Bus Admin
BAFI,Business Administration: Finance,Faculty of Comm and Bus Admin
BAHR,Business Administration: Human Resources Management,Faculty of Comm and Bus Admin
BAIT,Business Administration: Business Technology Management,Faculty of Comm and Bus Admin
BALA,Business Administration: Law,Faculty of Comm and Bus Admin
BAMA,Business Administration: Marketing,Faculty of Comm and Bus Admin
BAMS,Business Administration: Management Science,Faculty of Comm and Bus Admin
BAPA,Business Administration: Policy Analysis,Faculty of Comm and Bus Admin
BASC,Business Administration: Supply Chain,Faculty of Comm and Bus Admin
BASM,Business Administration: Strategic Management,Faculty of Comm and Bus Admin
BAUL,Business Administration: Urban Land Economics,Faculty of Comm and Bus Admin
BEST,Forest Bioeconomy Sciences and Technology,Faculty of Forestry
BIOC,Biochemistry,Faculty of Medicine
BIOF,Bioinformatics,Faculty of Science
BIOL,Biology,Faculty of Science
BIOT,Biotechnology,Faculty of Science
BMEG,Biomedical Engineering,School of Biomedical Engineering
BOTA,Botany,Faculty of Science
BRDG,Bridge Program,Faculty of Medicine
BUSI,Business,Faculty of Comm and Bus Admin
CAPS,Cellular, Anatomical and Physiological Sciences,Faculty of Medicine
CCFI,Centre for Cross-Faculty Inquiry,Faculty of Education
CCST,Critical and Curatorial Studies,Faculty of Arts
CDST,Canadian Studies,Faculty of Arts
CEEN,Clean Energy Engineering,Faculty of Applied Science
CELL,Cell and Developmental Biology,Faculty of Medicine
CENS,Central, Eastern and Northern European Studies,Faculty of Arts
CHBE,Chemical and Biological Engineering,Faculty of Applied Science
CHEM,Chemistry,Faculty of Science
CHIL,Children's Literature,Faculty of Arts
CHIN,Chinese,Faculty of Arts
CINE,Cinema Studies,Faculty of Arts
CIVL,Civil Engineering,Faculty of Applied Science
CLST,Classical Studies,Faculty of Arts
CMST,Cinema and Media Studies,Faculty of Arts
CNPS,Counselling Psychology,Faculty of Education
CNTO,Cantonese,Faculty of Arts
COEC,Commerce Economics,Faculty of Comm and Bus Admin
COGS,Cognitive Systems Program,Faculty of Science
COHR,Commerce Human Resources,Faculty of Comm and Bus Admin
COLX,Computational Linguistics,Faculty of Arts
COMM,Commerce,Faculty of Comm and Bus Admin
COMR,Commerce Minor,Faculty of Comm and Bus Admin
CONS,Natural Resources Conservation,Faculty of Forestry
CPEN,Computer Engineering,Faculty of Applied Science
CPSC,Computer Science,Faculty of Science
CRWR,Creative Writing,Faculty of Arts
CSIS,Critical Studies in Sexuality,Faculty of Arts
CSPW *,Coordinated Science Program Workshop,Faculty of Science
CTLN,Catalan,Faculty of Arts
DANI,Danish,Faculty of Arts
DENT,Dentistry,Faculty of Dentistry
DES,Design,School of Arch and Landscape Arch
DHYG,Dental Hygiene,Faculty of Dentistry
DMED,Digital Media,Faculty of Arts
DSCI,Data Science,Faculty of Science
ECED,Early Childhood Education,Faculty of Education
ECON,Economics,Vancouver School of Economics
ECPS,Educational & Counselling Psychology, & Special Education,Faculty of Education
EDCP,Curriculum and Pedagogy,Faculty of Education
EDST,Educational Studies,Faculty of Education
EDUC,Education,Faculty of Education
EECE,Electrical and Computer Engineering,Faculty of Applied Science
ELEC,Electrical Engineering,Faculty of Applied Science
ELI,English Language Institute,Regi
EMBA *,Executive M.B.A.,Faculty of Comm and Bus Admin
ENGL,English,Faculty of Arts
ENPH,Engineering Physics,Faculty of Science
ENPP *,Engineering and Public Policy,Faculty of Applied Science
ENST,Environment and Sustainability,Faculty of Arts
ENVE,Environmental Engineering,Faculty of Applied Science
ENVR,Environmental Science,Faculty of Science
EOSC,Earth and Ocean Sciences,Faculty of Science
EPSE,Educational Psychology and Special Education,Faculty of Education
ETEC,Educational Technology,Faculty of Education
EXCH,Exchange Programs,Regi
EXGR,Exchange Graduate Research,Regi
FACT *,Faculty of Arts Commuter Transition Program,Faculty of Arts
FCOR,Forestry Core,Faculty of Forestry
FEBC,Forest Engineering British Columbia,Faculty of Forestry
FIPR,Film Production,Faculty of Arts
FISH,Fisheries Research,Faculty of Science
FMPR *,Family Practice,Faculty of Medicine
FMST,Family Studies,Faculty of Arts
FNEL,First Nations and Endangered Languages Program,Faculty of Arts
FNH,Food, Nutrition and Health,Faculty of Land and Food Systems
FNIS,First Nations and Indigenous Studies,Faculty of Arts
FOOD,Food Science,Faculty of Land and Food Systems
FOPE,Forestry Online Professional Education,Faculty of Forestry
FOPR,Forest Operations,Faculty of Forestry
FRE,Food and Resource Economics,Faculty of Land and Food Systems
FREN,French,Faculty of Arts
FRSI *,Forestry Silviculture Institute,Faculty of Forestry
FRST,Forestry,Faculty of Forestry
FSCT,Biochemistry and Forensic Science,Faculty of Medicine
GEM,Geomatics for Environmental Management,Faculty of Forestry
GEOG,Geography,Faculty of Arts
GEOS,Geographical Sciences,Faculty of Arts
GERN,German,Faculty of Arts
GMST,German Studies,Faculty of Arts
GREK,Greek,Faculty of Arts
GRS,Global Resource Systems,Faculty of Land and Food Systems
GRSJ,Gender, Race, Sexuality and Social Justice,Faculty of Arts
GSAT,Genome Science and Technology,Faculty of Science
HEBR,Hebrew,Faculty of Arts
HESO,Health and Society,Faculty of Arts
HGSE,Haida Gwaii Semesters,Faculty of Forestry
HINU,Hindi-Urdu,Faculty of Arts
HIST,History,Faculty of Arts
HPB,High Performance Buildings,Faculty of Applied Science
HUNU,Human Nutrition,Faculty of Land and Food Systems
IAR *,Institute of Asian Research,Faculty of Arts
IEST *,European Studies,Faculty of Arts
IGEN,Integrated Engineering,Faculty of Applied Science
ILS *,Indigenous Land Stewardship,Faculty of Forestry
INDO *,Indonesian,Faculty of Arts
INDS,Interdisciplinary Studies,Faculty of Grad and Pdoc Studies
INFO,Information Studies,Faculty of Arts
INLB,Indigenous Land-Based Studies,Faculty of Arts
ISCI,Integrated Sciences,Faculty of Science
ITAL,Italian,Faculty of Arts
IWME,Integrated Water Management Engineering,Faculty of Applied Science
JAPN,Japanese,Faculty of Arts
JRNL,Journalism,School of Journalism,Writing,Andmedia
KIN,Kinesiology,School of Kinesiology
KORN,Korean,Faculty of Arts
LAIS,Library, Archival and Information Studies,School of Information
LARC,Landscape Architecture,School of Arch and Landscape Arch
LASO,Law and Society,Faculty of Arts
LAST,Latin American Studies,Faculty of Arts
LATN,Latin,Faculty of Arts
LAW,Law,Peter A. Allard School of Law
LFS,Land & Food Systems,Faculty of Land and Food Systems
LIBE,Teacher Librarianship,Faculty of Education
LIBR,Library and Information Studies,School of